No,名前,バージョン,評価,コメント
0494,ビクティニ,1,,
0495,ツタージャ,1,★★★★☆,リアルな植物質感の爬虫類の子供を再現できたが、目の感じや葉の出方が違う。
0496,ジャノビー,1,★★★★☆,リアルな植物質感の爬虫類を再現できたが、目の感じや葉の出方が違う。
0497,ジャローダ,1,★★★☆☆,草蛇ということはわかるが、特徴を出しきれておらず、ポケモン感が弱い。
0498,ポカブ,1,★★★★★,リアルなポケモンぽい子豚を見事に再現できている。
0499,チャオブー,1,★★★★★,ちょっとマッチョになったリアルな豚の格闘家を再現できている。
0500,エンブオー,1,★★★★☆,マッチョな炎が燃え盛る豚をリアルに再現できているが、耳の形や胴体の感じが違う。
0501,ミジュマル,1,★★★★☆,リアルなかわいい子ラッコを再現できたが、ホタテを手で持っている感じになり、首元も違う。
0502,フタチマル,1,★★★★☆,リアルな修行中のラッコを再現できたが、ホタテをアクセサリーとして取り付けてます感や色合いも違う。
0503,ダイケンキ,1,★★☆☆☆,アザラシが貝殻をアクセサリとしてつけているだけで、武装的な感じが出せていない。原型もあまりない。
0504,ミネズミ,1,★★☆☆☆,普通のプレーリードックの子供。
0505,ミルホッグ,1,★★☆☆☆,普通のプレーリードッグ。
0506,ヨーテリー,1,★★☆☆☆,普通のヨークシャテリアの子供。
0507,ハーデリア,1,★★☆☆☆,普通のヨークシャテリア。
0508,ムーランド,1,★★☆☆☆,普通のヨークシャテリアの老犬。
0509,チョロネコ,1,★★☆☆☆,普通の紫ネコ。
0510,レパルダス,1,★★☆☆☆,模様はちゃんと入っているが、それ以外は普通の紫ネコ。
0511,ヤナップ,1,★★★☆☆,緑の子ザルだが、マスコットっぽさが強い。
0512,ヤナッキー,1,★★★★☆,頭は木のような感じを再現できているが、顔がリアルな猿になりすぎている。
0513,バオップ,1,★★★☆☆,赤の子ザルだが、マスコットっぽさが強い。
0514,バオッキー,1,★★★★☆,頭は燃え盛る炎のようだが、顔がリアルな猿になりすぎている。
0515,ヒヤップ,1,★★★☆☆,水色の子ザルだが、マスコットっぽさが強い。
0516,ヒヤッキー,1,★★★★☆,頭は流れ落ちる水のようだが、顔がリアルな猿になりすぎている。
0517,ムンナ,1,★★★★★,ゴム風船の質感で不思議な生物感が出ている。
0518,ムシャーナ,1,★★★★☆,ゴム風船の質感で不思議な生物感が出ているが、煙の出る位置が上すぎる。
0519,マメパト,1,★★★☆☆,普通のハトの子供っぽい感じ。
0520,ハトーボー,1,★★★☆☆,普通のハトで特徴の頭の寝ぐせみたいなのがない。
